Price,GPU,Core Clock,Boost Clock,CUDA Cores,Stream Processors,Memory Size,Memory Type,Memory Interface,Thermal Design Power
477.44,GeForce RTX 2060 SUPER,NULL,1650 MHz,2176,NULL,8GB,GDDR6,256-Bit,175W
319.99,GeForce RTX 2060,1755 MHz,NULL,1920,NULL,6GB,GDDR6,192-Bit,160W
748.99,GeForce RTX 2070 SUPER,NULL,1800 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
169.99,GeForce GTX 1650 SUPER,1755 MHz,NULL,NULL,NULL,4GB,GDDR6,128-Bit,100W
249.99,GeForce GTX 1660 SUPER,NULL,NULL,1408,NULL,6GB,GDDR6,192-Bit,125W
419.99,GeForce RTX 2060 SUPER,1710 MHz,NULL,2176,NULL,8GB,GDDR6,256-Bit,120W
940.00,GeForce RTX 2080 SUPER,1845 MHz,NULL,3072,NULL,8GB,GDDR6,256-Bit,250W
719.99,GeForce RTX 2080 SUPER,1845 MHz,NULL,3072,NULL,8GB,GDDR6,256-Bit,250W
159.99,GeForce GTX 1650,1620 MHz,NULL,896,NULL,4GB,GDDR6,128-Bit,85W
339.99,GeForce RTX 2060,1770 MHz,NULL,1920,NULL,6GB,GDDR6,192-Bit,160W
999.99,GeForce RTX 2070 SUPER,NULL,1800 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
948.88,GeForce RTX 2070 SUPER,NULL,1800 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
549.99,GeForce RTX 2070 SUPER,1905 MHz,NULL,2560,NULL,8GB,GDDR6,256-Bit,215W
169.99,GeForce GTX 1650,1785 MHz,NULL,896,NULL,4GB,GDDR5,128-Bit,75W
149.99,GeForce GTX 1650,OC Mode: 1515 MHzGaming Mode (Default): 1485 MHz,OC Mode: 1755 MHzGaming Mode: 1725 MHz,896,NULL,4GB,GDDR5,128-Bit,75W
169.99,GeForce GTX 1650,NULL,1740 MHz,896,NULL,4GB,GDDR6,128-Bit,NULL
229.99,GeForce GTX 1660 SUPER,1530 MHz,OC Mode: 1830 MHzGaming Mode (Default): 1800 MHz,1408,NULL,6GB,GDDR6,192-Bit,125W
419.99,GeForce RTX 2060 SUPER,NULL,1650 MHz,2176,NULL,8GB,GDDR6,256-Bit,175W
229.99,GeForce GTX 1660,1830 MHz,NULL,1408,NULL,6GB,GDDR5,192-Bit,NULL
